restaurant_id,restaurant_name,restaurant_address,restaurant_postcode,premises_id,premises_name,premises_address,license_number,license_url,dps_name,license_holder,licensable_activities,opening_hours,activity_hours,conditions,validity_from,validity_to,match_confidence,match_reason,scraped_at
285,The Caffeine Club,"46 Tavistock Pl, Plymouth PL4 8AX, UK",,1210,Caffeine Club,"46 Tavistock Place, Plymouth, Devon, PL4 8AX",PA0718,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/1210/Detail?LIC_ID=3903,,,"['provision of late night refreshment', 'sale and supply of alcohol', 'any playing of recorded music']","[{'days': 'Monday to Sunday', 'time_from': '00:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '23:00', 'time_to': '05:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,63.333333333333336,similar_name + strong_address,2025-11-21T09:23:14.334842
286,The Coffee Shack,"91 W Hoe Rd, Plymouth PL1 3DE, UK",,2172,Coffee Shack,"Hoe Road, Plymouth, Devon, PL1 3DE",TE1335,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/2172/Detail?LIC_ID=9927,,,['The sale by retail of alcohol'],"[{'days': 'Sunday', 'time_from': '07:00', 'time_to': '00:00', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,62.857142857142854,similar_name + strong_address,2025-11-21T09:30:35.861381
288,The Mad Merchants Coffee House,"37 New St, Plymouth PL1 2NE, UK",,3864,"Mad Merchant Coffee House, The","37 New Street, Barbican, Plymouth, Devon, PL1 2NA",PA1144,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/3864/Detail?LIC_ID=19456,,,['sale and supply of alcohol'],"[{'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '21:00', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '21:00', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,62.3728813559322,similar_name + strong_address,2025-11-21T10:25:25.873641
290,Black Cat Surf Club,"31 The Broadway, Plymstock, Plymouth PL9 7AG, UK",,4698,Black Cat Surf Club,"31 The Broadway, Plymouth, Devon, PL9 7AF",PA1285,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/4698/Detail?LIC_ID=23421,,,['sale and supply of alcohol'],"[{'days': 'Monday to Sunday', 'time_from': '08:00', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '23:00', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T09:15:39.044737
292,Sonnys coffee shop,"65 Hyde Park Rd, Peverell, Plymouth PL3 4JN, UK",,4714,Sonny's Coffee Shop,"65 Hyde Park Road, Plymouth, Devon, PL3 4JN",PA1288,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/4714/Detail?LIC_ID=23467,,,['sale and supply of alcohol'],"[{'days': 'Monday to Saturday', 'time_from': '09:00', 'time_to': '21:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '09:00', 'time_to': '16:00', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '09:00', 'time_to': '21:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '09:00', 'time_to': '16:00', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T11:43:41.444906
297,News Cafe Plymouth,"16/17, Mills Bakery, Royal William Rd, Stonehouse, Plymouth PL1 3RP, UK",,1992,News Cafe,"Units 16 & 17 Mills Bakery, Royal William Yard, Plymouth, Devon, PL1 3RP",PA0819,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/1992/Detail?LIC_ID=9079,,,"['sale and supply of alcohol', 'provision of late night refreshment']","[{'days': 'Monday to Saturday', 'time_from': '08:30', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '08:30', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '23:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '11:00', 'time_to': '23:30', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '11:00', 'time_to': '22:30', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T10:40:50.545900
300,Rockets and Rascals,"7 Parade, Plymouth PL1 2JL, UK",,2532,Rockets and Rascals,"7 Parade, The Barbican, Plymouth, Devon, PL1 2JL",PA0987,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/2532/Detail?LIC_ID=15435,,,['sale and supply of alcohol'],"[{'days': 'Monday to Sunday', 'time_from': '08:00', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '23:00', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T11:22:44.987802
306,Jasmin's,"The Hair Loft, 81-83 Ridgeway, Plympton, Plymouth PL7 2AA, UK",,628,Jasmin's,"81-83 Ridgeway, Plympton, Plymouth, Devon, PL7 2AA",PA0505,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/628/Detail?LIC_ID=2559,,,['sale and supply of alcohol'],"[{'days': 'Monday to Sunday', 'time_from': '09:00', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '09:00', 'time_to': '23:00', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T10:11:05.640821
309,Boom Battle Bar Plymouth,"Unit 6, The Barcode, Charles Cross Roundabout, Drake Circus, Plymouth PL4 0FE, UK",,4171,Boom Battle Bar,"Unit 6 , The Barcode, 11 Bretonside, Plymouth, Devon, PL4 0FE",PA1192,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/4171/Detail?LIC_ID=20590,,,"['an indoor sporting event', 'any playing of recorded music', 'provision of late night refreshment', 'sale and supply of alcohol']","[{'days': 'Sunday to Thursday', 'time_from': '10:30', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '10:30', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday to Thursday', 'time_from': '23:00', 'time_to': '23:30', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '23:00', 'time_to': '01:30', 'non_standard': ''}, {'days': 'Sunday to Thursday', 'time_from': '23:00', 'time_to': '23:30', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '23:00', 'time_to': '01:30', 'non_standard': ''}, {'days': 'Sunday to Thursday', 'time_from': '23:00', 'time_to': '23:30', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '23:00', 'time_to': '01:30', 'non_standard': ''}, {'days': 'Sunday to Thursday', 'time_from': '10:30', 'time_to': '23:30', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '10:30', 'time_to': '01:30', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T09:17:11.234458
310,Bar Rakuda,"11 Quay Rd, Plymouth PL1 2JZ, UK",,623,Bar Rakuda,"10 & 11 Quay Road, The Barbican, Plymouth, Devon, PL1 2JZ",PA0703,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/623/Detail?LIC_ID=2710,,,"['any playing of recorded music', 'a performance of a play', 'an exhibition of a film', 'an indoor sporting event', 'a boxing or wrestling entertainment', 'a performance of live music', 'a performance of dance', 'entertainment of a similar description to that falling within a performance of live music, any playing of recorded music or a performance of dance', 'provision of late night refreshment', 'sale and supply of alcohol']","[{'days': 'Monday to Sunday', 'time_from': '09:00', 'time_to': '02:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '09:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '11:00', 'time_to': '22:30', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '09:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '23:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '09:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T09:10:20.380907
