restaurant_id,restaurant_name,restaurant_address,company_number,company_name,company_status,company_type,incorporation_date,registered_address,sic_codes,confidence,match_reason
174,The Ship & Castle,"The Barbican, Plymouth PL1 2JZ, UK",10041218,THE SHIP & CASTLE LTD,active,ltd,2016-03-03,"2 Coracle Offices, St. Catherine Street, Carmarthen, Dyfed, Wales, SA31 1RD",,75.0,"exact_name, active"
107,The Terrace Cafe,"Madeira Rd, Plymouth PL1 2NY, UK",13565619,THE TERRACE APPAREL LIMITED,active,ltd,2021-08-13,"12 Deeble Close, Plymouth, England, PL7 4BR",,81.33333333333333,"partial_name, postcode_nearby, plymouth_area, active"
124,The Terrace Restaurant & Bar,"Madeira Rd, Plymouth PL1 2NY, UK",04762803,THE TERRACE RESTAURANTS LIMITED,active,ltd,2003-05-13,"9 Eager Way, Exminster, Devon, England, EX6 8TJ",,70.53191489361703,"similar_name, active"
106,The Thistle Park Brewers Fayre,"32 Commercial Rd, Plymouth PL4 0LE, UK",03329822,THISTLE PARK GARAGE LIMITED,active,ltd,1997-03-07,"Unit D2 Neptune Park, Plymouth, Devon, United Kingdom, PL4 0SJ",,87.85714285714286,"partial_name, postcode_match, plymouth_area, active"
357,The Trawlerman,"51-53 Bretonside, Plymouth PL4 0BD, UK",BR019333,THE TRAWLERMAN,open,uk-establishment,2015-10-14,"Skipton Road, Keighley, Cross Hills, BD20 7BQ",,70.0,exact_name
10,The Village Restaurant,"32 Southside St, Plymouth PL1 2LE, UK",15135959,THE NEW VILLAGE RESTAURANT LTD,active,ltd,2023-09-13,"32 Southside Street, Plymouth, England, PL1 2LE",,86.62162162162161,"postcode_match, plymouth_area, active"
355,The West Hoe,"24 Bishops Place, Plymouth PL1 3BW, UK",13515074,WEST HOE HOLDINGS LIMITED,active,ltd,2021-07-16,"Barbican House, 36 New Street, Plymouth, Devon, United Kingdom, PL1 2NA",,83.62068965517241,"postcode_match, plymouth_area, active"
358,The Woodside,"12 Gasking St, Plymouth PL4 8DQ, UK",14767181,THE WOODSIDE PUB LIMITED,active,ltd,2023-03-29,"36 New Street Barbican House, Plymouth, United Kingdom, PL1 2NA",,90.0,"similar_name, postcode_nearby, plymouth_area, active"
314,Tigermilk,"Pilgrim House, 17 Derrys Cross, Plymouth PL1 2SW, UK",OC436197,TIGERMILK LLP,active,llp,2021-03-21,"Unit 4, Sandy Court Ashleigh Way, Plympton, Plymouth, Devon, United Kingdom, PL7 5JX",,100.0,"exact_name, postcode_nearby, plymouth_area, active"
80,Turtle Bay Plymouth,"5 St Andrews Cross Roundabout, Plymouth PL1 1AB, UK",10992884,TURTLE BAY LIMITED,active,ltd,2017-10-03,"67 Chorley Old Road, Bolton, England, BL1 3AJ",,75.0,"exact_name, active"
