restaurant_id,restaurant_name,restaurant_address,restaurant_postcode,match_score,match_reason,rates_propref,rates_account_holder,rates_address,rates_postcode,rates_rateable_value,rates_net_charge,rates_category,rates_vo_description
234,The Boathouse Plymouth,2-5 Commercial Wharf,PL1 2NX,60.15,exact_postcode+address_match(3_words),130202032873542,QUAYSIDE HOSPITALITY LIMITED,"2-4 COMMERCIAL WHARF, MADEIRA ROAD",PL1 2NX,45250,13547.85,Cafes,CAFE AND PREMISES
241,The Bridge,"The Bridge Bar & Restaurant, 55 Shaw Way, Mount Batten, Plymouth PL9 9XH, UK",PL9 9XH,58.75,exact_postcode,130204553872326,BRIDGE AT MOUNT BATTEN LTD,"THE BRIDGE RESTAURANT AT, PLYMOUTH YACHT HAVEN",PL9 9XH,38500,11526.9,Restaurants,RESTAURANT AND PREMISES
281,Ground Coffee,"Barbican, Plymouth PL1 2LS, UK",PL1 2LS,56.21,exact_postcode,130204000238014,THE CROWN AND ANCHOR LIMITED,"THE CROWN AND ANCHOR, 10-11 THE BARBICAN",PL1 2LS,39800,11916.12,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
305,Moments Café and Memory Matters Hub,"69a New George St, Plymouth PL1 1RJ, UK",PL1 1RB,58.3,postcode_area+address_match(3_words),130202076604232,MEMORY MATTERS CIC,"69A NEW GEORGE STREET, PLYMOUTH",PL1 1RJ,44000,13173.6,Cafes,CAFE AND PREMISES
